2026-01-27T11:32:14.178313 >>> [THESIS PROBE] Latent Entry (hybrid) | Raw: 0.0017 MB | Transmitted (16-bit): 0.0017 MB | Shape: [1, 896]
2026-01-27T11:32:25.120063 >>> [THESIS PROBE] Latent Entry (hybrid) | Raw: 0.0039 MB | Transmitted (16-bit): 0.0039 MB | Shape: [1, 2048]
2026-01-27T11:33:04.741069 >>> [THESIS PROBE] Latent Entry (hybrid) | Raw: 0.0029 MB | Transmitted (16-bit): 0.0029 MB | Shape: [1, 1536]
2026-01-27T11:33:42.684327 >>> [THESIS PROBE] Latent Entry (hybrid) | Raw: 0.0017 MB | Transmitted (8-bit): 0.0009 MB | Shape: [1, 896]
2026-01-27T11:33:52.959097 >>> [THESIS PROBE] Latent Entry (hybrid) | Raw: 0.0039 MB | Transmitted (8-bit): 0.0020 MB | Shape: [1, 2048]
2026-01-27T11:34:40.046480 >>> [THESIS PROBE] Latent Entry (hybrid) | Raw: 0.0029 MB | Transmitted (8-bit): 0.0015 MB | Shape: [1, 1536]
2026-01-27T11:35:23.544405 >>> [THESIS PROBE] Latent Entry (hybrid) | Raw: 0.0017 MB | Transmitted (4-bit): 0.0004 MB | Shape: [1, 896]
2026-01-27T11:35:32.942299 >>> [THESIS PROBE] Latent Entry (hybrid) | Raw: 0.0039 MB | Transmitted (4-bit): 0.0010 MB | Shape: [1, 2048]
2026-01-27T11:36:12.888485 >>> [THESIS PROBE] Latent Entry (hybrid) | Raw: 0.0029 MB | Transmitted (4-bit): 0.0007 MB | Shape: [1, 1536]
2026-01-27T11:36:49.789669 >>> [THESIS PROBE] Latent Entry (hybrid) | Raw: 0.0017 MB | Transmitted (2-bit): 0.0002 MB | Shape: [1, 896]
2026-01-27T11:36:59.133280 >>> [THESIS PROBE] Latent Entry (hybrid) | Raw: 0.0039 MB | Transmitted (2-bit): 0.0005 MB | Shape: [1, 2048]
2026-01-27T11:37:39.111265 >>> [THESIS PROBE] Latent Entry (hybrid) | Raw: 0.0029 MB | Transmitted (2-bit): 0.0004 MB | Shape: [1, 1536]
2026-02-05T09:52:47.613279 >>> [THESIS PROBE] Latent Entry (hybrid) | Entropy: 0.0000 | Raw: 0.0017 MB | Transmitted (16-bit): 0.0017 MB | Shape: [1, 896]
2026-02-05T09:52:59.338097 >>> [THESIS PROBE] Latent Entry (hybrid) | Entropy: 0.8299 | Raw: 0.0039 MB | Transmitted (16-bit): 0.0039 MB | Shape: [1, 2048]
2026-02-05T09:53:41.494981 >>> [THESIS PROBE] Latent Entry (hybrid) | Entropy: 0.0000 | Raw: 0.0029 MB | Transmitted (16-bit): 0.0029 MB | Shape: [1, 1536]
2026-02-05T09:54:17.870243 >>> [THESIS PROBE] Latent Entry (hybrid) | Entropy: 0.0000 | Raw: 0.0017 MB | Transmitted (8-bit): 0.0009 MB | Shape: [1, 896]
2026-02-05T09:54:29.409423 >>> [THESIS PROBE] Latent Entry (hybrid) | Entropy: 0.8299 | Raw: 0.0039 MB | Transmitted (8-bit): 0.0020 MB | Shape: [1, 2048]
2026-02-05T09:55:10.990174 >>> [THESIS PROBE] Latent Entry (hybrid) | Entropy: 0.0000 | Raw: 0.0029 MB | Transmitted (8-bit): 0.0015 MB | Shape: [1, 1536]
2026-02-05T09:55:43.817504 >>> [THESIS PROBE] Latent Entry (hybrid) | Entropy: 0.0000 | Raw: 0.0017 MB | Transmitted (4-bit): 0.0004 MB | Shape: [1, 896]
2026-02-05T09:55:54.491452 >>> [THESIS PROBE] Latent Entry (hybrid) | Entropy: 0.8299 | Raw: 0.0039 MB | Transmitted (4-bit): 0.0010 MB | Shape: [1, 2048]
2026-02-05T09:56:36.187689 >>> [THESIS PROBE] Latent Entry (hybrid) | Entropy: 0.0000 | Raw: 0.0029 MB | Transmitted (4-bit): 0.0007 MB | Shape: [1, 1536]
2026-02-05T09:57:11.160785 >>> [THESIS PROBE] Latent Entry (hybrid) | Entropy: 0.0000 | Raw: 0.0017 MB | Transmitted (2-bit): 0.0002 MB | Shape: [1, 896]
2026-02-05T09:57:23.293704 >>> [THESIS PROBE] Latent Entry (hybrid) | Entropy: 0.8299 | Raw: 0.0039 MB | Transmitted (2-bit): 0.0005 MB | Shape: [1, 2048]
2026-02-05T09:58:09.705141 >>> [THESIS PROBE] Latent Entry (hybrid) | Entropy: 0.0000 | Raw: 0.0029 MB | Transmitted (2-bit): 0.0004 MB | Shape: [1, 1536]
2026-02-05T03:22:50.256819 >>> [THESIS PROBE] Latent Entry (hybrid) | Entropy: 0.0000 | Raw: 0.0017 MB | Transmitted (16-bit): 0.0017 MB | Shape: [1, 896]
2026-02-05T03:22:50.988216 >>> [THESIS PROBE] Latent Entry (hybrid) | Entropy: 1.2346 | Raw: 0.0039 MB | Transmitted (16-bit): 0.0039 MB | Shape: [1, 2048]
2026-02-05T03:22:51.212854 >>> [THESIS PROBE] Latent Entry (hybrid) | Entropy: 0.0006 | Raw: 0.0029 MB | Transmitted (16-bit): 0.0029 MB | Shape: [1, 1536]
2026-02-05T03:22:55.534526 >>> [THESIS PROBE] Latent Entry (hybrid) | Entropy: 0.0000 | Raw: 0.0017 MB | Transmitted (8-bit): 0.0009 MB | Shape: [1, 896]
2026-02-05T03:22:55.626089 >>> [THESIS PROBE] Latent Entry (hybrid) | Entropy: 1.2346 | Raw: 0.0039 MB | Transmitted (8-bit): 0.0020 MB | Shape: [1, 2048]
2026-02-05T03:22:55.820958 >>> [THESIS PROBE] Latent Entry (hybrid) | Entropy: 0.0006 | Raw: 0.0029 MB | Transmitted (8-bit): 0.0015 MB | Shape: [1, 1536]
2026-02-05T03:23:01.411575 >>> [THESIS PROBE] Latent Entry (hybrid) | Entropy: 0.0000 | Raw: 0.0017 MB | Transmitted (4-bit): 0.0004 MB | Shape: [1, 896]
2026-02-05T03:23:01.507827 >>> [THESIS PROBE] Latent Entry (hybrid) | Entropy: 1.2346 | Raw: 0.0039 MB | Transmitted (4-bit): 0.0010 MB | Shape: [1, 2048]
2026-02-05T03:23:01.707518 >>> [THESIS PROBE] Latent Entry (hybrid) | Entropy: 0.0006 | Raw: 0.0029 MB | Transmitted (4-bit): 0.0007 MB | Shape: [1, 1536]
2026-02-05T03:23:06.622868 >>> [THESIS PROBE] Latent Entry (hybrid) | Entropy: 0.0000 | Raw: 0.0017 MB | Transmitted (2-bit): 0.0002 MB | Shape: [1, 896]
2026-02-05T03:23:06.715112 >>> [THESIS PROBE] Latent Entry (hybrid) | Entropy: 1.2346 | Raw: 0.0039 MB | Transmitted (2-bit): 0.0005 MB | Shape: [1, 2048]
2026-02-05T03:23:06.912758 >>> [THESIS PROBE] Latent Entry (hybrid) | Entropy: 0.0006 | Raw: 0.0029 MB | Transmitted (2-bit): 0.0004 MB | Shape: [1, 1536]
2026-02-05T03:53:26.162771 >>> [THESIS PROBE] Latent Entry | Entropy: 0.0956 | Raw: 0.0293 MB | Transmitted (16-bit): 0.0293 MB | Shape: [10, 1536]
2026-02-05T03:53:26.386207 >>> [THESIS PROBE] Latent Step 0 | Entropy: 0.1644 | Raw: 0.0293 MB | Transmitted (16-bit): 0.0293 MB | Shape: [10, 1536]
2026-02-05T03:53:26.416488 >>> [THESIS PROBE] Latent Step 1 | Entropy: 0.0908 | Raw: 0.0293 MB | Transmitted (16-bit): 0.0293 MB | Shape: [10, 1536]
2026-02-05T03:53:26.445413 >>> [THESIS PROBE] Latent Step 2 | Entropy: 0.0000 | Raw: 0.0293 MB | Transmitted (16-bit): 0.0293 MB | Shape: [10, 1536]
2026-02-05T03:53:26.474469 >>> [THESIS PROBE] Latent Step 3 | Entropy: 0.0042 | Raw: 0.0293 MB | Transmitted (16-bit): 0.0293 MB | Shape: [10, 1536]
2026-02-05T03:53:26.507302 >>> [THESIS PROBE] Latent Step 4 | Entropy: 0.0014 | Raw: 0.0293 MB | Transmitted (16-bit): 0.0293 MB | Shape: [10, 1536]
2026-02-05T03:53:26.678808 >>> [THESIS PROBE] Latent Entry | Entropy: 0.1264 | Raw: 0.0293 MB | Transmitted (16-bit): 0.0293 MB | Shape: [10, 1536]
2026-02-05T03:53:26.707235 >>> [THESIS PROBE] Latent Step 0 | Entropy: 0.2759 | Raw: 0.0293 MB | Transmitted (16-bit): 0.0293 MB | Shape: [10, 1536]
2026-02-05T03:53:26.737058 >>> [THESIS PROBE] Latent Step 1 | Entropy: 0.6518 | Raw: 0.0293 MB | Transmitted (16-bit): 0.0293 MB | Shape: [10, 1536]
2026-02-05T03:53:26.767576 >>> [THESIS PROBE] Latent Step 2 | Entropy: 0.3402 | Raw: 0.0293 MB | Transmitted (16-bit): 0.0293 MB | Shape: [10, 1536]
2026-02-05T03:53:26.795793 >>> [THESIS PROBE] Latent Step 3 | Entropy: 0.2872 | Raw: 0.0293 MB | Transmitted (16-bit): 0.0293 MB | Shape: [10, 1536]
2026-02-05T03:53:26.824455 >>> [THESIS PROBE] Latent Step 4 | Entropy: 0.6261 | Raw: 0.0293 MB | Transmitted (16-bit): 0.0293 MB | Shape: [10, 1536]
2026-02-05T03:53:26.986363 >>> [THESIS PROBE] Latent Entry | Entropy: 0.3464 | Raw: 0.0293 MB | Transmitted (16-bit): 0.0293 MB | Shape: [10, 1536]
2026-02-05T03:53:27.015398 >>> [THESIS PROBE] Latent Step 0 | Entropy: 0.6738 | Raw: 0.0293 MB | Transmitted (16-bit): 0.0293 MB | Shape: [10, 1536]
2026-02-05T03:53:27.045886 >>> [THESIS PROBE] Latent Step 1 | Entropy: 0.5517 | Raw: 0.0293 MB | Transmitted (16-bit): 0.0293 MB | Shape: [10, 1536]
2026-02-05T03:53:27.075942 >>> [THESIS PROBE] Latent Step 2 | Entropy: 0.2404 | Raw: 0.0293 MB | Transmitted (16-bit): 0.0293 MB | Shape: [10, 1536]
2026-02-05T03:53:27.107211 >>> [THESIS PROBE] Latent Step 3 | Entropy: 0.2465 | Raw: 0.0293 MB | Transmitted (16-bit): 0.0293 MB | Shape: [10, 1536]
2026-02-05T03:53:27.135936 >>> [THESIS PROBE] Latent Step 4 | Entropy: 0.2227 | Raw: 0.0293 MB | Transmitted (16-bit): 0.0293 MB | Shape: [10, 1536]
